"","Start","ID","Type","Via","Altitude(ft/m)","Position (lat/long)","Distance (leg/total)","Name","URL"
"9293","•","LAOCI","FIX","-","28,000 / 8,534","22.48670 / 103.96500","61  / 4725 nm","","https://flightplandatabase.com/plan/1298276"
"9294","•","NOB","VOR","W6 (AWY-HI)","300 / 91","21.21300 / 105.83500","129  / 4855 nm","NOIBAI","https://flightplandatabase.com/plan/1298276"
"9295","O","VVNB","APT","-","0 / 0","21.22030 / 105.80600","1  / 4856 nm","Hanoi Noibai Intl","https://flightplandatabase.com/plan/1298276"
"9296","O","LIRF","APT","-","0 / 0","41.81080 / 12.25090","- / 0 nm","Leonardo da Vinci-Fiumicino Airport","https://flightplandatabase.com/plan/1298283"
"9297","•","NAVAG","FIX","-","33,600 / 10,241","42.58030 / 14.09670","94  / 94 nm","","https://flightplandatabase.com/plan/1298283"
"9298","•","SUTOB","FIX","UL5 (AWY-HI)","35,000 / 10,668","42.76640 / 14.50610","21  / 115 nm","","https://flightplandatabase.com/plan/1298283"
"9299","•","INKUB","FIX","UL5 (AWY-HI)","35,000 / 10,668","42.98690 / 15.03780","26  / 142 nm","","https://flightplandatabase.com/plan/1298283"
"9300","•","VAPUP","FIX","UL5 (AWY-HI)","35,000 / 10,668","43.05580 / 15.20560","8  / 150 nm","","https://flightplandatabase.com/plan/1298283"
"9301","•","SPL","DME","UL5 (AWY-HI)","35,000 / 10,668","43.49660 / 16.30470","54  / 205 nm","SPLIT VOR-DME","https://flightplandatabase.com/plan/1298283"
"9302","•","DIXUM","FIX","UM730 (AWY-HI)","35,000 / 10,668","43.49580 / 17.19940","38  / 244 nm","","https://flightplandatabase.com/plan/1298283"
"9303","•","OSLUD","FIX","UM730 (AWY-HI)","35,000 / 10,668","43.47720 / 18.78720","69  / 313 nm","","https://flightplandatabase.com/plan/1298283"
"9304","•","REMSO","FIX","UM730 (AWY-HI)","35,000 / 10,668","43.47360 / 18.95750","7  / 321 nm","","https://flightplandatabase.com/plan/1298283"
"9305","•","RAMAP","FIX","UM730 (AWY-HI)","35,000 / 10,668","43.41840 / 20.89110","84  / 405 nm","","https://flightplandatabase.com/plan/1298283"
"9306","•","NISVA","FIX","L614 (AWY-LO)","35,000 / 10,668","42.97280 / 22.79750","87  / 493 nm","","https://flightplandatabase.com/plan/1298283"
"9307","•","BLO","VOR","L614 (AWY-HI)","35,000 / 10,668","42.66720 / 23.81390","48  / 541 nm","BAILOVO","https://flightplandatabase.com/plan/1298283"
"9308","•","UMPIT","FIX","T343 (AWY-HI)","35,000 / 10,668","42.77970 / 24.17420","17  / 558 nm","","https://flightplandatabase.com/plan/1298283"
"9309","•","TOTKA","FIX","T343 (AWY-HI)","35,000 / 10,668","43.20560 / 27.11670","131  / 690 nm","","https://flightplandatabase.com/plan/1298283"
"9310","•","WRN","VOR","N605 (AWY-HI)","35,000 / 10,668","43.23140 / 27.81720","30  / 721 nm","VARNA","https://flightplandatabase.com/plan/1298283"
"9311","•","INKOM","FIX","N605 (AWY-HI)","35,000 / 10,668","43.25330 / 30.64000","123  / 844 nm","","https://flightplandatabase.com/plan/1298283"
"9312","•","ROMOK","FIX","-","35,000 / 10,668","43.47330 / 31.72830","49  / 894 nm","","https://flightplandatabase.com/plan/1298283"
"9313","•","ROPUT","FIX","-","35,000 / 10,668","43.83330 / 32.50170","39  / 934 nm","","https://flightplandatabase.com/plan/1298283"
"9314","•","TUNSA","FIX","-","35,000 / 10,668","43.92330 / 32.75830","12  / 946 nm","","https://flightplandatabase.com/plan/1298283"
"9315","•","4400N03300E","LATLON","-","35,000 / 10,668","44.00000 / 33.00000","11  / 957 nm","","https://flightplandatabase.com/plan/1298283"
"9316","•","4400N03400E","LATLON","-","35,000 / 10,668","44.00000 / 34.00000","43  / 1001 nm","","https://flightplandatabase.com/plan/1298283"
"9317","•","4400N03500E","LATLON","-","35,000 / 10,668","44.00000 / 35.00000","43  / 1044 nm","","https://flightplandatabase.com/plan/1298283"
"9318","•","4400N03600E","LATLON","-","35,000 / 10,668","44.00000 / 36.00000","43  / 1087 nm","","https://flightplandatabase.com/plan/1298283"
"9319","•","RENAT","FIX","-","35,000 / 10,668","44.03670 / 36.55830","24  / 1111 nm","","https://flightplandatabase.com/plan/1298283"
"9320","•","NUGRI","FIX","B549 (AWY-HI)","35,000 / 10,668","44.12140 / 37.16500","26  / 1138 nm","","https://flightplandatabase.com/plan/1298283"
"9321","•","KEDUR","FIX","B967 (AWY-HI)","35,000 / 10,668","44.13690 / 38.36830","51  / 1190 nm","","https://flightplandatabase.com/plan/1298283"
"9322","•","TINBI","FIX","B967 (AWY-HI)","35,000 / 10,668","44.13940 / 38.90330","23  / 1213 nm","","https://flightplandatabase.com/plan/1298283"
"9323","•","AG","NDB","B967 (AWY-HI)","35,000 / 10,668","44.13940 / 39.02670","5  / 1218 nm","AGOY","https://flightplandatabase.com/plan/1298283"
"9324","•","SUPED","FIX","B967 (AWY-HI)","35,000 / 10,668","44.12920 / 40.86780","79  / 1298 nm","","https://flightplandatabase.com/plan/1298283"
"9325","•","PR","NDB","B967 (AWY-HI)","35,000 / 10,668","44.11810 / 41.47920","26  / 1324 nm","PEREDOVAYA","https://flightplandatabase.com/plan/1298283"
"9326","•","RESLO","FIX","B491 (AWY-HI)","35,000 / 10,668","43.95000 / 42.62500","50  / 1374 nm","","https://flightplandatabase.com/plan/1298283"
"9327","•","BELNI","FIX","A944 (AWY-HI)","35,000 / 10,668","43.91970 / 45.92030","142  / 1517 nm","","https://flightplandatabase.com/plan/1298283"
"9328","•","KZ","NDB","R227 (AWY-HI)","35,000 / 10,668","43.83470 / 46.71390","34  / 1552 nm","KIZLYAR","https://flightplandatabase.com/plan/1298283"
"9329","•","BETOR","FIX","R227 (AWY-HI)","35,000 / 10,668","43.86810 / 48.44030","74  / 1626 nm","","https://flightplandatabase.com/plan/1298283"
"9330","•","ITAKA","FIX","R227 (AWY-HI)","35,000 / 10,668","43.87330 / 49.50000","45  / 1672 nm","","https://flightplandatabase.com/plan/1298283"
"9331","•","AKT","VOR","R227 (AWY-HI)","35,000 / 10,668","43.85860 / 51.10190","69  / 1742 nm","AKTAU","https://flightplandatabase.com/plan/1298283"
"9332","•","NEPIL","FIX","B363 (AWY-HI)","35,000 / 10,668","43.69250 / 52.41530","57  / 1800 nm","","https://flightplandatabase.com/plan/1298283"
"9333","•","MEDOL","FIX","B363 (AWY-HI)","35,000 / 10,668","43.57360 / 53.28310","38  / 1838 nm","","https://flightplandatabase.com/plan/1298283"
"9334","•","BAPER","FIX","B363 (AWY-HI)","35,000 / 10,668","43.50310 / 53.77830","21  / 1860 nm","","https://flightplandatabase.com/plan/1298283"
"9335","•","KUNAS","FIX","B363 (AWY-HI)","35,000 / 10,668","43.15640 / 56.00000","99  / 1959 nm","","https://flightplandatabase.com/plan/1298283"
"9336","•","EKMOS","FIX","B363 (AWY-HI)","35,000 / 10,668","42.63830 / 58.87670","130  / 2090 nm","","https://flightplandatabase.com/plan/1298283"
"9337","•","NAKUK","FIX","B363 (AWY-HI)","35,000 / 10,668","42.48830 / 59.62330","34  / 2124 nm","","https://flightplandatabase.com/plan/1298283"
"9338","•","KERIV","FIX","G555 (AWY-HI)","35,000 / 10,668","41.08170 / 63.29670","184  / 2309 nm","","https://flightplandatabase.com/plan/1298283"
"9339","•","OGNOB","FIX","G555 (AWY-HI)","35,000 / 10,668","39.74330 / 66.40500","163  / 2472 nm","","https://flightplandatabase.com/plan/1298283"
"9340","•","USETU","FIX","G555 (AWY-HI)","35,000 / 10,668","39.42830 / 67.24330","43  / 2515 nm","","https://flightplandatabase.com/plan/1298283"
"9341","•","BUTRA","FIX","G500 (AWY-HI)","35,000 / 10,668","39.35330 / 67.47330","11  / 2527 nm","","https://flightplandatabase.com/plan/1298283"
"9342","•","SX","NDB","G500 (AWY-HI)","35,000 / 10,668","38.84330 / 68.84000","70  / 2597 nm","PUGUS","https://flightplandatabase.com/plan/1298283"
"9343","•","JD","NDB","G500 (AWY-HI)","35,000 / 10,668","38.54330 / 69.31330","28  / 2626 nm","FAYZABAD","https://flightplandatabase.com/plan/1298283"
"9344","•","POMIR","FIX","G500 (AWY-HI)","35,000 / 10,668","38.58330 / 71.63330","108  / 2735 nm","","https://flightplandatabase.com/plan/1298283"
"9345","•","3800N07300E","LATLON","-","35,000 / 10,668","38.00000 / 73.00000","73  / 2808 nm","","https://flightplandatabase.com/plan/1298283"
"9346","•","3700N07500E","LATLON","-","35,000 / 10,668","37.00000 / 75.00000","112  / 2921 nm","","https://flightplandatabase.com/plan/1298283"
"9347","•","PURPA","FIX","-","35,000 / 10,668","36.94140 / 75.40750","19  / 2941 nm","","https://flightplandatabase.com/plan/1298283"
"9348","•","HTN","VOR","W112 (AWY-HI)","35,000 / 10,668","37.03670 / 79.87170","214  / 3155 nm","HOTAN","https://flightplandatabase.com/plan/1298283"
"9349","•","3600N08100E","LATLON","-","35,000 / 10,668","36.00000 / 81.00000","82  / 3238 nm","","https://flightplandatabase.com/plan/1298283"
"9350","•","3500N08300E","LATLON","-","35,000 / 10,668","35.00000 / 83.00000","114  / 3352 nm","","https://flightplandatabase.com/plan/1298283"
"9351","•","3400N08500E","LATLON","-","35,000 / 10,668","34.00000 / 85.00000","115  / 3468 nm","","https://flightplandatabase.com/plan/1298283"
"9352","•","3300N08700E","LATLON","-","35,000 / 10,668","33.00000 / 87.00000","116  / 3585 nm","","https://flightplandatabase.com/plan/1298283"
"9353","•","3200N08800E","LATLON","-","35,000 / 10,668","32.00000 / 88.00000","78  / 3664 nm","","https://flightplandatabase.com/plan/1298283"
"9354","•","3100N08900E","LATLON","-","35,000 / 10,668","31.00000 / 89.00000","78  / 3742 nm","","https://flightplandatabase.com/plan/1298283"
"9355","•","3000N09000E","LATLON","-","35,000 / 10,668","30.00000 / 90.00000","79  / 3822 nm","","https://flightplandatabase.com/plan/1298283"
"9356","•","LXA","VOR","-","35,000 / 10,668","29.30170 / 91.00170","67  / 3889 nm","LHASA","https://flightplandatabase.com/plan/1298283"
"9357","•","DM","NDB","W500 (AWY-HI)","35,000 / 10,668","29.25830 / 91.76500","40  / 3929 nm","ZEDANG","https://flightplandatabase.com/plan/1298283"
"9358","•","2900N09300E","LATLON","-","35,000 / 10,668","29.00000 / 93.00000","66  / 3995 nm","","https://flightplandatabase.com/plan/1298283"
"9359","•","2800N09400E","LATLON","-","35,000 / 10,668","28.00000 / 94.00000","79  / 4075 nm","","https://flightplandatabase.com/plan/1298283"
"9360","•","DRG","VOR","-","35,000 / 10,668","27.48710 / 95.02110","62  / 4138 nm","DIBRUGARH","https://flightplandatabase.com/plan/1298283"
"9361","•","2700N09600E","LATLON","-","35,000 / 10,668","27.00000 / 96.00000","59  / 4198 nm","","https://flightplandatabase.com/plan/1298283"
"9362","•","2700N09700E","LATLON","-","35,000 / 10,668","27.00000 / 97.00000","53  / 4251 nm","","https://flightplandatabase.com/plan/1298283"
"9363","•","2600N09900E","LATLON","-","35,000 / 10,668","26.00000 / 99.00000","123  / 4374 nm","","https://flightplandatabase.com/plan/1298283"
"9364","•","UPGED","FIX","-","35,000 / 10,668","25.13830 / 100.25700","85  / 4460 nm","","https://flightplandatabase.com/plan/1298283"
"9365","•","ALALA","FIX","-","35,000 / 10,668","24.97170 / 100.59700","21  / 4481 nm","","https://flightplandatabase.com/plan/1298283"
"9366","•","GULOT","FIX","W146 (AWY-HI)","35,000 / 10,668","24.62330 / 101.56500","56  / 4538 nm","","https://flightplandatabase.com/plan/1298283"
"9367","•","2400N10200E","LATLON","-","35,000 / 10,668","24.00000 / 102.00000","44  / 4582 nm","","https://flightplandatabase.com/plan/1298283"
"9368","•","2300N10300E","LATLON","-","35,000 / 10,668","23.00000 / 103.00000","81  / 4664 nm","","https://flightplandatabase.com/plan/1298283"
"9369","•","LAOCI","FIX","-","28,000 / 8,534","22.48670 / 103.96500","61  / 4725 nm","","https://flightplandatabase.com/plan/1298283"
"9370","•","NOB","VOR","W6 (AWY-HI)","300 / 91","21.21300 / 105.83500","129  / 4855 nm","NOIBAI","https://flightplandatabase.com/plan/1298283"
"9371","O","VVNB","APT","-","0 / 0","21.22030 / 105.80600","1  / 4856 nm","Hanoi Noibai Intl","https://flightplandatabase.com/plan/1298283"
"9372","O","LIRF","APT","-","0 / 0","41.81080 / 12.25090","- / 0 nm","Leonardo da Vinci-Fiumicino Airport","https://flightplandatabase.com/plan/1421850"
"9373","•","NAVAG","FIX","-","33,600 / 10,241","42.58030 / 14.09670","94  / 94 nm","","https://flightplandatabase.com/plan/1421850"
"9374","•","SUTOB","FIX","UL5 (AWY-HI)","35,000 / 10,668","42.76640 / 14.50610","21  / 115 nm","","https://flightplandatabase.com/plan/1421850"
"9375","•","INKUB","FIX","UL5 (AWY-HI)","35,000 / 10,668","42.98690 / 15.03780","26  / 142 nm","","https://flightplandatabase.com/plan/1421850"
"9376","•","VAPUP","FIX","UL5 (AWY-HI)","35,000 / 10,668","43.05580 / 15.20560","8  / 150 nm","","https://flightplandatabase.com/plan/1421850"
"9377","•","SPL","DME","UL5 (AWY-HI)","35,000 / 10,668","43.49660 / 16.30470","54  / 205 nm","SPLIT VOR-DME","https://flightplandatabase.com/plan/1421850"
"9378","•","DIXUM","FIX","UM730 (AWY-HI)","35,000 / 10,668","43.49580 / 17.19940","38  / 244 nm","","https://flightplandatabase.com/plan/1421850"
"9379","•","OSLUD","FIX","UM730 (AWY-HI)","35,000 / 10,668","43.47720 / 18.78720","69  / 313 nm","","https://flightplandatabase.com/plan/1421850"
"9380","•","REMSO","FIX","UM730 (AWY-HI)","35,000 / 10,668","43.47360 / 18.95750","7  / 321 nm","","https://flightplandatabase.com/plan/1421850"
"9381","•","RAMAP","FIX","UM730 (AWY-HI)","35,000 / 10,668","43.41840 / 20.89110","84  / 405 nm","","https://flightplandatabase.com/plan/1421850"
"9382","•","NISVA","FIX","L614 (AWY-LO)","35,000 / 10,668","42.97280 / 22.79750","87  / 493 nm","","https://flightplandatabase.com/plan/1421850"
"9383","•","BLO","VOR","L614 (AWY-HI)","35,000 / 10,668","42.66720 / 23.81390","48  / 541 nm","BAILOVO","https://flightplandatabase.com/plan/1421850"
"9384","•","UMPIT","FIX","T343 (AWY-HI)","35,000 / 10,668","42.77970 / 24.17420","17  / 558 nm","","https://flightplandatabase.com/plan/1421850"
"9385","•","TOTKA","FIX","T343 (AWY-HI)","35,000 / 10,668","43.20560 / 27.11670","131  / 690 nm","","https://flightplandatabase.com/plan/1421850"
"9386","•","WRN","VOR","N605 (AWY-HI)","35,000 / 10,668","43.23140 / 27.81720","30  / 721 nm","VARNA","https://flightplandatabase.com/plan/1421850"
"9387","•","INKOM","FIX","N605 (AWY-HI)","35,000 / 10,668","43.25330 / 30.64000","123  / 844 nm","","https://flightplandatabase.com/plan/1421850"
"9388","•","ROMOK","FIX","-","35,000 / 10,668","43.47330 / 31.72830","49  / 894 nm","","https://flightplandatabase.com/plan/1421850"
"9389","•","ROPUT","FIX","-","35,000 / 10,668","43.83330 / 32.50170","39  / 934 nm","","https://flightplandatabase.com/plan/1421850"
"9390","•","TUNSA","FIX","-","35,000 / 10,668","43.92330 / 32.75830","12  / 946 nm","","https://flightplandatabase.com/plan/1421850"
"9391","•","4400N03300E","LATLON","-","35,000 / 10,668","44.00000 / 33.00000","11  / 957 nm","","https://flightplandatabase.com/plan/1421850"
"9392","•","4400N03400E","LATLON","-","35,000 / 10,668","44.00000 / 34.00000","43  / 1001 nm","","https://flightplandatabase.com/plan/1421850"
"9393","•","4400N03500E","LATLON","-","35,000 / 10,668","44.00000 / 35.00000","43  / 1044 nm","","https://flightplandatabase.com/plan/1421850"
"9394","•","4400N03600E","LATLON","-","35,000 / 10,668","44.00000 / 36.00000","43  / 1087 nm","","https://flightplandatabase.com/plan/1421850"
"9395","•","RENAT","FIX","-","35,000 / 10,668","44.03670 / 36.55830","24  / 1111 nm","","https://flightplandatabase.com/plan/1421850"
"9396","•","NUGRI","FIX","B549 (AWY-HI)","35,000 / 10,668","44.12140 / 37.16500","26  / 1138 nm","","https://flightplandatabase.com/plan/1421850"
"9397","•","KEDUR","FIX","B967 (AWY-HI)","35,000 / 10,668","44.13690 / 38.36830","51  / 1190 nm","","https://flightplandatabase.com/plan/1421850"
"9398","•","TINBI","FIX","B967 (AWY-HI)","35,000 / 10,668","44.13940 / 38.90330","23  / 1213 nm","","https://flightplandatabase.com/plan/1421850"
"9399","•","AG","NDB","B967 (AWY-HI)","35,000 / 10,668","44.13940 / 39.02670","5  / 1218 nm","AGOY","https://flightplandatabase.com/plan/1421850"
"9400","•","SUPED","FIX","B967 (AWY-HI)","35,000 / 10,668","44.12920 / 40.86780","79  / 1298 nm","","https://flightplandatabase.com/plan/1421850"
"9401","•","PR","NDB","B967 (AWY-HI)","35,000 / 10,668","44.11810 / 41.47920","26  / 1324 nm","PEREDOVAYA","https://flightplandatabase.com/plan/1421850"
"9402","•","RESLO","FIX","B491 (AWY-HI)","35,000 / 10,668","43.95000 / 42.62500","50  / 1374 nm","","https://flightplandatabase.com/plan/1421850"
"9403","•","BELNI","FIX","A944 (AWY-HI)","35,000 / 10,668","43.91970 / 45.92030","142  / 1517 nm","","https://flightplandatabase.com/plan/1421850"
"9404","•","KZ","NDB","R227 (AWY-HI)","35,000 / 10,668","43.83470 / 46.71390","34  / 1552 nm","KIZLYAR","https://flightplandatabase.com/plan/1421850"
"9405","•","BETOR","FIX","R227 (AWY-HI)","35,000 / 10,668","43.86810 / 48.44030","74  / 1626 nm","","https://flightplandatabase.com/plan/1421850"
"9406","•","ITAKA","FIX","R227 (AWY-HI)","35,000 / 10,668","43.87330 / 49.50000","45  / 1672 nm","","https://flightplandatabase.com/plan/1421850"
"9407","•","AKT","VOR","R227 (AWY-HI)","35,000 / 10,668","43.85860 / 51.10190","69  / 1742 nm","AKTAU","https://flightplandatabase.com/plan/1421850"
"9408","•","NEPIL","FIX","B363 (AWY-HI)","35,000 / 10,668","43.69250 / 52.41530","57  / 1800 nm","","https://flightplandatabase.com/plan/1421850"
"9409","•","MEDOL","FIX","B363 (AWY-HI)","35,000 / 10,668","43.57360 / 53.28310","38  / 1838 nm","","https://flightplandatabase.com/plan/1421850"
"9410","•","BAPER","FIX","B363 (AWY-HI)","35,000 / 10,668","43.50310 / 53.77830","21  / 1860 nm","","https://flightplandatabase.com/plan/1421850"
"9411","•","KUNAS","FIX","B363 (AWY-HI)","35,000 / 10,668","43.15640 / 56.00000","99  / 1959 nm","","https://flightplandatabase.com/plan/1421850"
"9412","•","EKMOS","FIX","B363 (AWY-HI)","35,000 / 10,668","42.63830 / 58.87670","130  / 2090 nm","","https://flightplandatabase.com/plan/1421850"
"9413","•","NAKUK","FIX","B363 (AWY-HI)","35,000 / 10,668","42.48830 / 59.62330","34  / 2124 nm","","https://flightplandatabase.com/plan/1421850"
"9414","•","KERIV","FIX","G555 (AWY-HI)","35,000 / 10,668","41.08170 / 63.29670","184  / 2309 nm","","https://flightplandatabase.com/plan/1421850"
"9415","•","OGNOB","FIX","G555 (AWY-HI)","35,000 / 10,668","39.74330 / 66.40500","163  / 2472 nm","","https://flightplandatabase.com/plan/1421850"
"9416","•","USETU","FIX","G555 (AWY-HI)","35,000 / 10,668","39.42830 / 67.24330","43  / 2515 nm","","https://flightplandatabase.com/plan/1421850"
"9417","•","BUTRA","FIX","G500 (AWY-HI)","35,000 / 10,668","39.35330 / 67.47330","11  / 2527 nm","","https://flightplandatabase.com/plan/1421850"
"9418","•","SX","NDB","G500 (AWY-HI)","35,000 / 10,668","38.84330 / 68.84000","70  / 2597 nm","PUGUS","https://flightplandatabase.com/plan/1421850"
"9419","•","JD","NDB","G500 (AWY-HI)","35,000 / 10,668","38.54330 / 69.31330","28  / 2626 nm","FAYZABAD","https://flightplandatabase.com/plan/1421850"
"9420","•","POMIR","FIX","G500 (AWY-HI)","35,000 / 10,668","38.58330 / 71.63330","108  / 2735 nm","","https://flightplandatabase.com/plan/1421850"
"9421","•","3800N07300E","LATLON","-","35,000 / 10,668","38.00000 / 73.00000","73  / 2808 nm","","https://flightplandatabase.com/plan/1421850"
"9422","•","3700N07500E","LATLON","-","35,000 / 10,668","37.00000 / 75.00000","112  / 2921 nm","","https://flightplandatabase.com/plan/1421850"
"9423","•","PURPA","FIX","-","35,000 / 10,668","36.94140 / 75.40750","19  / 2941 nm","","https://flightplandatabase.com/plan/1421850"
"9424","•","HTN","VOR","W112 (AWY-HI)","35,000 / 10,668","37.03670 / 79.87170","214  / 3155 nm","HOTAN","https://flightplandatabase.com/plan/1421850"
"9425","•","3600N08100E","LATLON","-","35,000 / 10,668","36.00000 / 81.00000","82  / 3238 nm","","https://flightplandatabase.com/plan/1421850"
"9426","•","3500N08300E","LATLON","-","35,000 / 10,668","35.00000 / 83.00000","114  / 3352 nm","","https://flightplandatabase.com/plan/1421850"
"9427","•","3400N08500E","LATLON","-","35,000 / 10,668","34.00000 / 85.00000","115  / 3468 nm","","https://flightplandatabase.com/plan/1421850"
"9428","•","3300N08700E","LATLON","-","35,000 / 10,668","33.00000 / 87.00000","116  / 3585 nm","","https://flightplandatabase.com/plan/1421850"
"9429","•","3200N08800E","LATLON","-","35,000 / 10,668","32.00000 / 88.00000","78  / 3664 nm","","https://flightplandatabase.com/plan/1421850"
"9430","•","3100N08900E","LATLON","-","35,000 / 10,668","31.00000 / 89.00000","78  / 3742 nm","","https://flightplandatabase.com/plan/1421850"
"9431","•","3000N09000E","LATLON","-","35,000 / 10,668","30.00000 / 90.00000","79  / 3822 nm","","https://flightplandatabase.com/plan/1421850"
"9432","•","LXA","VOR","-","35,000 / 10,668","29.30170 / 91.00170","67  / 3889 nm","LHASA","https://flightplandatabase.com/plan/1421850"
"9433","•","DM","NDB","W500 (AWY-HI)","35,000 / 10,668","29.25830 / 91.76500","40  / 3929 nm","ZEDANG","https://flightplandatabase.com/plan/1421850"
"9434","•","2900N09300E","LATLON","-","35,000 / 10,668","29.00000 / 93.00000","66  / 3995 nm","","https://flightplandatabase.com/plan/1421850"
"9435","•","2800N09400E","LATLON","-","35,000 / 10,668","28.00000 / 94.00000","79  / 4075 nm","","https://flightplandatabase.com/plan/1421850"
"9436","•","DRG","VOR","-","35,000 / 10,668","27.48710 / 95.02110","62  / 4138 nm","DIBRUGARH","https://flightplandatabase.com/plan/1421850"
"9437","•","2700N09600E","LATLON","-","35,000 / 10,668","27.00000 / 96.00000","59  / 4198 nm","","https://flightplandatabase.com/plan/1421850"
"9438","•","2700N09700E","LATLON","-","35,000 / 10,668","27.00000 / 97.00000","53  / 4251 nm","","https://flightplandatabase.com/plan/1421850"
"9439","•","2600N09900E","LATLON","-","35,000 / 10,668","26.00000 / 99.00000","123  / 4374 nm","","https://flightplandatabase.com/plan/1421850"
"9440","•","UPGED","FIX","-","35,000 / 10,668","25.13830 / 100.25700","85  / 4460 nm","","https://flightplandatabase.com/plan/1421850"
"9441","•","ALALA","FIX","-","35,000 / 10,668","24.97170 / 100.59700","21  / 4481 nm","","https://flightplandatabase.com/plan/1421850"
"9442","•","GULOT","FIX","W146 (AWY-HI)","35,000 / 10,668","24.62330 / 101.56500","56  / 4538 nm","","https://flightplandatabase.com/plan/1421850"
"9443","•","2400N10200E","LATLON","-","35,000 / 10,668","24.00000 / 102.00000","44  / 4582 nm","","https://flightplandatabase.com/plan/1421850"
"9444","•","2300N10300E","LATLON","-","35,000 / 10,668","23.00000 / 103.00000","81  / 4664 nm","","https://flightplandatabase.com/plan/1421850"
"9445","•","LAOCI","FIX","-","28,000 / 8,534","22.48670 / 103.96500","61  / 4725 nm","","https://flightplandatabase.com/plan/1421850"
"9446","•","NOB","VOR","W6 (AWY-HI)","300 / 91","21.21300 / 105.83500","129  / 4855 nm","NOIBAI","https://flightplandatabase.com/plan/1421850"
"9447","O","VVNB","APT","-","0 / 0","21.22030 / 105.80600","1  / 4856 nm","Hanoi Noibai Intl","https://flightplandatabase.com/plan/1421850"
"9448","O","VVNB","APT","-","0 / 0","21.21974 / 105.80377","- / 0 nm","Hanoi Noibai Intl","https://flightplandatabase.com/plan/284185"
"9449","•","NOB","VOR","-","600 / 183","21.21302 / 105.83494","1  / 1 nm","NOIBAI VOR-DME","https://flightplandatabase.com/plan/284185"
"9450","•","LAOCI","FIX","W6 (AWY-HI)","34,000 / 10,363","22.48667 / 103.96528","129  / 131 nm","","https://flightplandatabase.com/plan/284185"
"9451","•","ELASU","FIX","-","34,000 / 10,363","24.06500 / 102.00167","143  / 275 nm","","https://flightplandatabase.com/plan/284185"
"9452","•","GULOT","FIX","-","34,000 / 10,363","24.48333 / 101.54333","35  / 310 nm","","https://flightplandatabase.com/plan/284185"
"9453","•","2600N10000E","LATLON","-","34,000 / 10,363","26.00000 / 100.00000","123  / 434 nm","","https://flightplandatabase.com/plan/284185"
"9454","•","PT","NDB","-","34,000 / 10,363","27.32056 / 97.43775","158  / 593 nm","PUTAO NDB","https://flightplandatabase.com/plan/284185"
"9455","•","2900N09500E","LATLON","-","34,000 / 10,363","29.00000 / 95.00000","163  / 756 nm","","https://flightplandatabase.com/plan/284185"
"9456","•","TAPUN","FIX","-","34,000 / 10,363","30.00333 / 93.07500","117  / 874 nm","","https://flightplandatabase.com/plan/284185"
"9457","•","3200N09000E","LATLON","-","34,000 / 10,363","32.00000 / 90.00000","198  / 1072 nm","","https://flightplandatabase.com/plan/284185"
"9458","•","3500N08500E","LATLON","-","34,000 / 10,363","35.00000 / 85.00000","308  / 1381 nm","","https://flightplandatabase.com/plan/284185"
"9459","•","3700N08000E","LATLON","-","34,000 / 10,363","37.00000 / 80.00000","270  / 1652 nm","","https://flightplandatabase.com/plan/284185"
"9460","•","SCH","VOR","-","34,000 / 10,363","38.42833 / 77.24000","156  / 1808 nm","SHACHE VOR-DME","https://flightplandatabase.com/plan/284185"
"9461","•","KHG","VOR","A364 (AWY-HI)","34,000 / 10,363","39.54667 / 76.02333","87  / 1896 nm","KASHI VOR-DME","https://flightplandatabase.com/plan/284185"
"9462","•","4000N07500E","LATLON","-","34,000 / 10,363","40.00000 / 75.00000","54  / 1951 nm","","https://flightplandatabase.com/plan/284185"
"9463","•","OSH","VOR","-","34,000 / 10,363","40.63667 / 72.74333","110  / 2061 nm","","https://flightplandatabase.com/plan/284185"
"9464","•","OGODA","FIX","G134 (AWY-HI)","34,000 / 10,363","40.66667 / 72.58333","7  / 2068 nm","","https://flightplandatabase.com/plan/284185"
"9465","•","AN","NDB","G134 (AWY-HI)","34,000 / 10,363","40.69833 / 72.25000","15  / 2084 nm","ANDIZHAN NDB","https://flightplandatabase.com/plan/284185"
"9466","•","GIKOD","FIX","B363 (AWY-HI)","34,000 / 10,363","40.88000 / 70.34500","87  / 2171 nm","","https://flightplandatabase.com/plan/284185"
"9467","•","SW","NDB","B363 (AWY-HI)","34,000 / 10,363","40.91667 / 69.80000","24  / 2196 nm","KARAKHTAY NDB","https://flightplandatabase.com/plan/284185"
"9468","•","UA","NDB","B363 (AWY-HI)","34,000 / 10,363","40.98333 / 69.38333","19  / 2215 nm","TOYTEPA NDB","https://flightplandatabase.com/plan/284185"
"9469","•","ABEKA","FIX","B363 (AWY-HI)","34,000 / 10,363","41.11806 / 68.74500","30  / 2245 nm","","https://flightplandatabase.com/plan/284185"
"9470","•","DIBAD","FIX","B363 (AWY-HI)","34,000 / 10,363","41.28333 / 67.93333","37  / 2283 nm","","https://flightplandatabase.com/plan/284185"
"9471","•","OGOLI","FIX","B363 (AWY-HI)","34,000 / 10,363","41.48278 / 66.60889","60  / 2344 nm","","https://flightplandatabase.com/plan/284185"
