type,geometry,properties
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.72969,35.68558 ] }","{ ""name"": ""+35.69_+139.73""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.66973,35.69714 ] }","{ ""name"": ""+35.70_+139.67""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.65827,35.70823 ] }","{ ""name"": ""+35.71_+139.66""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.66632,35.71200 ] }","{ ""name"": ""+35.71_+139.67""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.70166,35.70648 ] }","{ ""name"": ""+35.71_+139.70""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.64567,35.71846 ] }","{ ""name"": ""+35.72_+139.65""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.70321,35.72090 ] }","{ ""name"": ""+35.72_+139.70""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.63201,35.72776 ] }","{ ""name"": ""+35.73_+139.63""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.66171,35.72598 ] }","{ ""name"": ""+35.73_+139.66""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.41316,35.74327 ] }","{ ""name"": ""+35.74_+139.41""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.60196,35.74329 ] }","{ ""name"": ""+35.74_+139.60""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.61740,35.73606 ] }","{ ""name"": ""+35.74_+139.62""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.65861,35.74024 ] }","{ ""name"": ""+35.74_+139.66""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.70631,35.73516 ] }","{ ""name"": ""+35.74_+139.71""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.74209,35.74259 ] }","{ ""name"": ""+35.74_+139.74""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -121.69436,35.73720 ] }","{ ""name"": ""+35.74_-121.69""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -121.70983,35.73584 ] }","{ ""name"": ""+35.74_-121.71""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.42932,35.74938 ] }","{ ""name"": ""+35.75_+139.43""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.44608,35.75434 ] }","{ ""name"": ""+35.75_+139.45""}"
